description,is_genuine
Help renovate the old library in Ashville.,1
Join us in building a new playground for marginalized groups.,1
Help me reach success through your money.,0
Support my poker tournament entry fees.,0
Provide laptops to underprivileged students in Northwood.,1
Support our community gin-tasting event.,0
Emergency help for cow injured on the streets of Lakeside.,1
Support surgery for friend's lung disease diagnosed last week.,1
Support our monkey shelter expansion project.,1
Fund my journey to create edible jewelss.,0
Let’s buy drinks for the whole block party.,0
Support our campaign to build a new library for Sunrise Public School.,1
Send money for my guaranteed crypto profits!,0
Let’s buy drinks for the whole block party.,0
Help us renovate the old library in Pineview.,1
Fund my journey to create edible jewelss.,0
Help me build a museum for toothpicks.,0
Help me build a museum for socks.,0
Donate and I’ll make you rich too!,0
Let’s raise money to feed raccoons pizza.,0
"Help us launch our eco lamp, an innovative tech solution for rural education.",1
Support my poker tournament entry fees.,0
Support our monkey shelter expansion project.,1
I need a new smart speaker for my home.,0
Donate and I’ll make you rich too!,0
I want to train elephantss to dance salsa.,0
Fund our independent film documenting lost traditions.,1
Support my dream to travel to Paris in first-class.,0
"No reason, just trust me and give.",0
"Help us launch our AI tutor, an innovative tech solution for rural education.",1
"Fund life-saving kidney transplant for Douglas, a child from Hilltop.",1
Help me build a museum for toothpicks.,0
Emergency help for cow injured on the streets of Northwood.,1
Help my mother get urgent heart surgery in Kolkata.,1
Support my dream to travel to Tokyo in first-class.,0
Help me build a museum for toothpicks.,0
"Fund life-saving cancer treatment for Veronica, a child from Northwood.",1
I want to train pigeonss to dance salsa.,0
Support my poker tournament entry fees.,0
"No reason, just trust me and give.",0
Support surgery for father's tumor diagnosed last week.,1
I want to train geeses to dance salsa.,0
Join us in building a new community center for village kids.,1
"No reason, just trust me and give.",0
Support surgery for brother's tumor diagnosed last week.,1
"Help us launch our eco lamp, an innovative tech solution for energy saving.",1
Support our cow shelter expansion project.,1
Fund our independent film documenting refugee life.,1
Fund our independent film documenting lost traditions.,1
I want to train geeses to dance salsa.,0
Join us in building a new community center for marginalized groups.,1
Fund my journey to create edible hatss.,0
Help build a new library in Hilltop.,1
Donate and I’ll make you rich too!,0
Help me build a museum for toothpicks.,0
Help me reach success through your money.,0
Donate and I’ll make you rich too!,0
Support my poker tournament entry fees.,0
Support my dream to travel to Paris in first-class.,0
Help my mother get urgent kidney transplant in Delhi.,1
Let’s raise money to feed raccoons pizza.,0
Fund my journey to create edible toolss.,0
Help us vaccinate and feed 100 stray cows.,1
Help me fund my cigar club for teenagers.,0
Provide vet care for stray dogs at Bright Paws.,1
Donate and I’ll make you rich too!,0
Support local volunteers cleaning playground.,1
Support my poker tournament entry fees.,0
Help fund scholarships for girls attending college.,1
Emergency help for cow injured on the streets of Lakeside.,1
Help us vaccinate and feed 20 stray dogs.,1
Support local volunteers cleaning community center.,1
Support surgery for sister's diabetes diagnosed last week.,1
Join us in building a new community center for marginalized groups.,1
Join us in building a new community center for our town.,1
Help fund scholarships for orphans attending college.,1
Donate and I’ll make you rich too!,0
I want to train elephantss to dance salsa.,0
Let’s raise money to feed raccoons pizza.,0
Support publishing a graphic novel about migration.,1
Help me fund my cigar club for teenagers.,0
Contribute to renovating the Westside Community Library for all residents.,1
I want to train elephantss to dance salsa.,0
Help us vaccinate and feed 50 stray dogs.,1
Help renovate the old community hall in Northwood.,1
Help me build a museum for toothpicks.,0
Fund my journey to create edible hatss.,0
Fund our independent film documenting rural heroes.,1
Help us vaccinate and feed 50 stray cows.,1
Help renovate the old library in Ashville.,1
"Help us launch our eco lamp, an innovative tech solution for energy saving.",1
Help me reach success through your money.,0
Let’s buy drinks for the whole block party.,0
Help renovate the old town hall in Northwood.,1
Provide school supplies to underprivileged students in Ashville.,1
Support surgery for mother's tumor diagnosed last week.,1
"Help my cousin, Michael, fund his heart surgery.",1
Support publishing a graphic novel about identity.,1
Let’s buy drinks for the whole block party.,0
Help me fund my cigar club for teenagers.,0
I need funds for a diamond ring to look cool.,0
Help me fund my cigar club for teenagers.,0
Support our campaign to build a new library for Hope Academy.,1
Fund my journey to create edible jewelss.,0
Help me build a museum for bubble wrap.,0
Help me build a museum for socks.,0
"Help us launch our AI tutor, an innovative tech solution for rural education.",1
"No reason, just trust me and give.",0
Support my dream to travel to Dubai in first-class.,0
Join us in building a new playground for our town.,1
Support local volunteers cleaning park.,1
"Fund life-saving heart surgery for Roger, a child from Lakeside.",1
Help me fund my cigar club for teenagers.,0
Help us vaccinate and feed 50 stray cows.,1
Let’s buy drinks for the whole block party.,0
Support surgery for father's lung disease diagnosed last week.,1
Support our cow shelter expansion project.,1
Fund our independent film documenting rural heroes.,1
I want to train pigeonss to dance salsa.,0
Help fund scholarships for tribal children attending college.,1
Help me fund my cigar club for teenagers.,0
Provide laptops to underprivileged students in Northwood.,1
Help build a new community pool in Sunnyvale.,1
Support local volunteers cleaning community center.,1
Help me fund my cigar club for teenagers.,0
"Fund life-saving cancer treatment for Gerald, a child from Northwood.",1
Support my dream to travel to Paris in first-class.,0
Emergency help for cow injured on the streets of Northwood.,1
Help renovate the old community hall in Northwood.,1
Join us in building a new community center for our town.,1
Help me buy a VR headset for gaming.,0
Donate and I’ll make you rich too!,0
Help renovate the old community hall in Northwood.,1
I want to train elephantss to dance salsa.,0
Support my dream to travel to Tokyo in first-class.,0
Help me reach success through your money.,0
Help renovate the old community hall in Northwood.,1
Help us vaccinate and feed 20 stray dogs.,1
Fund our plan to give free whiskey to local artists.,0
Help me buy a VR headset for gaming.,0
"Fund life-saving chemotherapy for Kara, a child from Hilltop.",1
Provide art kits for 2900 kids in need.,1
Help me buy a gaming laptop for gaming.,0
Let’s buy drinks for the whole block party.,0
Fund my journey to create edible toolss.,0
Donate and I’ll make you rich too!,0
Support my dream to travel to London in first-class.,0
Emergency help for dog injured on the streets of Northwood.,1
Support my dream to travel to Dubai in first-class.,0
Help me buy a PS5 for gaming.,0
Help me build a museum for bubble wrap.,0
Let’s buy drinks for the whole block party.,0
Fund my journey to create edible hatss.,0
Support surgery for friend's lung disease diagnosed last week.,1
Support our dog shelter expansion project.,1
Help me fund my cigar club for teenagers.,0
Support local volunteers cleaning community center.,1
Help us vaccinate and feed 20 stray cows.,1
"No reason, just trust me and give.",0
Support my dream to travel to Dubai in first-class.,0
Fund our book on sustainable urban planning.,1
Help me buy a VR headset for gaming.,0
Help me build a museum for toothpicks.,0
Let’s buy drinks for the whole block party.,0
Let’s raise money to feed raccoons pizza.,0
Help me build a museum for bubble wrap.,0
Help me reach success through your money.,0
Help me buy a gaming laptop for gaming.,0
Fund my journey to create edible hatss.,0
Help my brother get urgent cancer treatment in Mumbai.,1
Help me money to train my dog to be a painter.,0
Help renovate the old town hall in Hilltop.,1
Fund our independent film documenting lost traditions.,1
Support my dream to travel to Paris in first-class.,0
Help renovate the old library in Ashville.,1
Help me build a museum for toothpicks.,0
Help my friend get urgent chemotherapy in Mumbai.,1
Provide school supplies to underprivileged students in Ashville.,1
Support local volunteers cleaning community center.,1
"Fund life-saving cancer treatment for Julie, a child from Northwood.",1
Help renovate the old community hall in Ashville.,1
Support local volunteers cleaning park.,1
Help me build a museum for toothpicks.,0
Help me build a museum for bubble wrap.,0
I need a new gaming headset for my setup.,0
Help fund scholarships for orphans attending college.,1
Help me build a museum for socks.,0
Support local volunteers cleaning community center.,1
I want to train elephantss to dance salsa.,0
Let’s buy drinks for the whole block party.,0
I need funds for a Rolex to look cool.,0
I need funds for a diamond ring to look cool.,0
Support our campaign to build a new library for Green Valley School.,1
Support my poker tournament entry fees.,0
Help us vaccinate and feed 100 stray monkeys.,1
Help me reach success through your money.,0
Help my brother get urgent heart surgery in Kolkata.,1
I want to train geeses to dance salsa.,0
Help me buy a VR headset for gaming.,0
Support surgery for friend's diabetes diagnosed last week.,1
Support my dream to travel to Paris in first-class.,0
Support surgery for brother's lung disease diagnosed last week.,1
Help me build a museum for toothpicks.,0
Let’s buy drinks for the whole block party.,0
Fund my journey to create edible toolss.,0
"Fund life-saving chemotherapy for Dawn, a child from Hilltop.",1
Fund our book on local cultural heritage.,1
Help me reach success through your money.,0
Emergency help for dog injured on the streets of Hilltop.,1
Fund our independent film documenting lost traditions.,1
Let’s raise money to feed raccoons pizza.,0
I want to train elephantss to dance salsa.,0
"Fund life-saving kidney transplant for Alexandria, a child from Northwood.",1
Support local volunteers cleaning community center.,1
Help renovate the old library in Hilltop.,1
I need funds for a Rolex to look cool.,0
Support our campaign to build a new library for Sunrise Public School.,1
Help me build a museum for toothpicks.,0
Support my dream to travel to Tokyo in first-class.,0
"No reason, just trust me and give.",0
Support local volunteers cleaning park.,1
Renovate the old theater in Hillside for community events.,1
Help me build a museum for socks.,0
Fund my journey to create edible jewelss.,0
"Fund life-saving heart surgery for Monica, a child from Northwood.",1
"Fund life-saving chemotherapy for Jasmine, a child from Ashville.",1
Help my friend get urgent kidney transplant in Mumbai.,1
Fund our independent film documenting rural heroes.,1
"No reason, just trust me and give.",0
Provide tablets for 3000 students in low-income schools.,1
Provide laptops to underprivileged students in Northwood.,1
Help me build a museum for socks.,0
Help us throw a community vodka-tasting fundraiser.,0
"No reason, just trust me and give.",0
"Help us launch our smart cane, an innovative tech solution for energy saving.",1
Support surgery for friend's diabetes diagnosed last week.,1
Support local volunteers cleaning park.,1
Let’s raise money to feed raccoons pizza.,0
Fund our independent film documenting refugee life.,1
Support our cow shelter expansion project.,1
I want to train elephantss to dance salsa.,0
Support our cat shelter expansion project.,1
"Help us launch our smart cane, an innovative tech solution for energy saving.",1
Help me fund my cigar club for teenagers.,0
Help me train my hamster to be a stunt performer.,0
Let’s buy drinks for the whole block party.,0
Help me build a museum for toothpicks.,0
Support my dream to travel to Dubai in first-class.,0
Support my dream to travel to London in first-class.,0
I need funds for a Rolex to look cool.,0
Help me reach success through your money.,0
Support local volunteers cleaning park.,1
Support local volunteers cleaning community center.,1
Support my poker tournament entry fees.,0
Help me build a museum for bubble wrap.,0
Provide science kits for 1000 students in need.,1
Support our campaign to build a new library for Hope Academy.,1
Help us vaccinate and feed 100 stray monkeys.,1
I need funds for a Rolex to look cool.,0
Provide laptops to underprivileged students in Lakeside.,1
Donate and I’ll make you rich too!,0
Help me reach success through your money.,0
Help my mother get urgent chemotherapy in Chennai.,1
Support surgery for father's diabetes diagnosed last week.,1
Provide school supplies to underprivileged students in Hilltop.,1
Emergency help for monkey injured on the streets of Lakeside.,1
Help fund scholarships for tribal children attending college.,1
Support my poker tournament entry fees.,0
I need funds for a Rolex to look cool.,0
Support my dream to travel to Tokyo in first-class.,0
I need funds for a sports car to look cool.,0
Support my dream to travel to London in first-class.,0
"No reason, just trust me and give.",0
Fund our independent film documenting rural heroes.,1
Help me build a museum for toothpicks.,0
Help me buy a VR headset for gaming.,0
Help me buy a PS5 for gaming.,0
Fund our independent film documenting lost traditions.,1
Fund our independent film documenting lost traditions.,1
"Fund life-saving chemotherapy for Ryan, a child from Hilltop.",1
Help fund scholarships for girls attending college.,1
Fund my journey to create edible toolss.,0
Emergency help for cow injured on the streets of Northwood.,1
I need funds for a sports car to look cool.,0
Help my friend get urgent heart surgery in Delhi.,1
Support local volunteers cleaning playground.,1
"Help us launch our eco lamp, an innovative tech solution for rural education.",1
"Fund life-saving heart surgery for Melissa, a child from Northwood.",1
Fund our independent film documenting rural heroes.,1
Emergency help for dog injured on the streets of Lakeside.,1
Donate and I’ll make you rich too!,0
Help renovate the old library in Hilltop.,1
Provide school supplies to underprivileged students in Hilltop.,1
Help me build a museum for socks.,0
I need funds for a Rolex to look cool.,0
Support my dream to travel to London in first-class.,0
Provide internet access to underprivileged students in Hilltop.,1
I need funds for a diamond ring to look cool.,0
Provide internet access to underprivileged students in Lakeside.,1
Support our campaign to build a new library for Sunrise Public School.,1
Let’s raise money to feed raccoons pizza.,0
"Help us launch our eco lamp, an innovative tech solution for rural education.",1
Let’s buy drinks for the whole block party.,0
Help my sister get urgent cancer treatment in Chennai.,1
Support our dog shelter expansion project.,1
"Help us launch our smart cane, an innovative tech solution for the blind.",1
Emergency help for monkey injured on the streets of Ashville.,1
Support our cat shelter expansion project.,1
Help me reach success through your money.,0
Donate and I’ll make you rich too!,0
Help fund scholarships for girls attending college.,1
"Fund life-saving chemotherapy for Nathan, a child from Northwood.",1
Donate and I’ll make you rich too!,0
Fund my journey to create edible jewelss.,0
Support our campaign to build a new library for Sunrise Public School.,1
Help renovate the old library in Ashville.,1
"Help us launch our smart cane, an innovative tech solution for energy saving.",1
Help me buy a gaming laptop for gaming.,0
"Fund life-saving cancer treatment for James, a child from Lakeside.",1
Support publishing a graphic novel about freedom.,1
Support my poker tournament entry fees.,0
Join us in building a new playground for village kids.,1
Help my brother get urgent cancer treatment in Delhi.,1
Support publishing a graphic novel about freedom.,1
Support surgery for sister's tumor diagnosed last week.,1
Let’s raise money to feed raccoons pizza.,0
Help me fund my cigar club for teenagers.,0
Help my mother get urgent kidney transplant in Chennai.,1
I need funds for a diamond ring to look cool.,0
Donate and I’ll make you rich too!,0
Support my dream to travel to Paris in first-class.,0
Donate and I’ll make you rich too!,0
Support surgery for brother's diabetes diagnosed last week.,1
Emergency help for monkey injured on the streets of Northwood.,1
Help me buy a VR headset for gaming.,0
Support publishing a graphic novel about freedom.,1
Help my brother get urgent cancer treatment in Bangalore.,1
Help save stray dogs with medical care at Hope Animal Shelter.,1
Help me fund my cigar club for teenagers.,0
Support my poker tournament entry fees.,0
Emergency help for dog injured on the streets of Hilltop.,1
"Fund life-saving kidney transplant for Jim, a child from Lakeside.",1
Help me reach success through your money.,0
Help me build a museum for toothpicks.,0
Support local volunteers cleaning community center.,1
Fund our independent film documenting lost traditions.,1
Support my dream to travel to Paris in first-class.,0
Help renovate the old town hall in Hilltop.,1
Support local volunteers cleaning community center.,1
Let’s buy drinks for the whole block party.,0
Support my poker tournament entry fees.,0
"No reason, just trust me and give.",0
Help me buy a VR headset for gaming.,0
Help fund scholarships for orphans attending college.,1
Support publishing a graphic novel about freedom.,1
Support our campaign to build a new library for Hope Academy.,1
Help us vaccinate and feed 20 stray monkeys.,1
Help fund scholarships for tribal children attending college.,1
Support surgery for friend's lung disease diagnosed last week.,1
Help my mother get urgent chemotherapy in Chennai.,1
Join us in building a new park for village kids.,1
Fund my journey to create edible hatss.,0
Help renovate the old community hall in Lakeside.,1
"No reason, just trust me and give.",0
Let’s raise money to feed raccoons pizza.,0
Support publishing a graphic novel about identity.,1
Help my mother get urgent chemotherapy in Mumbai.,1
Let’s raise money to feed raccoons pizza.,0
"Assist my grandmother, Ruth, with her hip replacement costs.",1
Help fund scholarships for girls attending college.,1
Help us vaccinate and feed 50 stray cows.,1
Help me fund my cigar club for teenagers.,0
Help renovate the old library in Hilltop.,1
Need funds for a new yacht to host my parties.,0
Fund our book on community gardening tips.,1
Help renovate the old community hall in Lakeside.,1
Support our campaign to build a new library for Green Valley School.,1
Donate and I’ll make you rich too!,0
Help me build a museum for bubble wrap.,0
Let’s buy drinks for the whole block party.,0
Let’s raise money to feed raccoons pizza.,0
Fund our independent film documenting lost traditions.,1
Donate and I’ll make you rich too!,0
"No reason, just trust me and give.",0
Help fund scholarships for tribal children attending college.,1
Fund our independent film documenting rural heroes.,1
I need a new drone for my photography.,0
Help my mother get urgent cancer treatment in Delhi.,1
Fund my journey to create edible hatss.,0
Donate and I’ll make you rich too!,0
Support our campaign to build a new library for Sunrise Public School.,1
Let’s buy drinks for the whole block party.,0
I need funds for a Rolex to look cool.,0
Support our campaign to build a new library for Sunrise Public School.,1
Support publishing a graphic novel about migration.,1
Help renovate the old town hall in Lakeside.,1
Fund my journey to create edible hatss.,0
Donate and I’ll make you rich too!,0
Help me reach success through your money.,0
"Help us launch our smart cane, an innovative tech solution for the blind.",1
Help my mother get urgent kidney transplant in Delhi.,1
Let’s raise money to feed raccoons pizza.,0
Support local volunteers cleaning playground.,1
"Help us launch our eco lamp, an innovative tech solution for rural education.",1
Let’s buy drinks for the whole block party.,0
Help my mother get urgent cancer treatment in Delhi.,1
Provide school supplies to underprivileged students in Lakeside.,1
Fund our independent film documenting rural heroes.,1
Help fund scholarships for tribal children attending college.,1
Fund my journey to create edible hatss.,0
Support my poker tournament entry fees.,0
Help fund scholarships for tribal children attending college.,1
Help fund scholarships for tribal children attending college.,1
Help me reach success through your money.,0
Let’s raise money to feed raccoons pizza.,0
Support local volunteers cleaning playground.,1
Support local volunteers cleaning playground.,1
I need a new camera to start my vlog.,0
Donate and I’ll make you rich too!,0
Support our campaign to build a new library for Green Valley School.,1
Help us vaccinate and feed 100 stray dogs.,1
"Fund life-saving chemotherapy for Wendy, a child from Lakeside.",1
Support our cow shelter expansion project.,1
Provide laptops to underprivileged students in Hilltop.,1
Support local volunteers cleaning park.,1
I need funds for a sports car to look cool.,0
Help us vaccinate and feed 100 stray cows.,1
"No reason, just trust me and give.",0
Help renovate the old town hall in Northwood.,1
I need funds for a Rolex to look cool.,0
Support our monkey shelter expansion project.,1
Support our community bourbon giveaway event.,0
Provide school supplies to underprivileged students in Hilltop.,1
Help fund scholarships for orphans attending college.,1
Support local volunteers cleaning park.,1
Fund my journey to create edible toolss.,0
Help me buy a gaming laptop for gaming.,0
Join us in building a new park for marginalized groups.,1
Help us renovate the old theater in Rivertown.,1
I want to train geeses to dance salsa.,0
I need funds for a sports car to look cool.,0
Fund my journey to create edible hatss.,0
Help us vaccinate and feed 100 stray dogs.,1
Let’s buy drinks for the whole block party.,0
Support our campaign to build a new library for Sunrise Public School.,1
"Help us launch our AI tutor, an innovative tech solution for energy saving.",1
Help me fund my cigar club for teenagers.,0
Help fund scholarships for girls attending college.,1
Help me buy a gaming laptop for gaming.,0
Help me build a museum for bubble wrap.,0
Help my sister get urgent heart surgery in Bangalore.,1
I need funds for a sports car to look cool.,0
Help fund scholarships for girls attending college.,1
Support publishing a graphic novel about freedom.,1
I want to train elephantss to dance salsa.,0
Raising funds for my sports betting platform.,0
Support our community vodka giveaway event.,0
Support our campaign to build a new library for Hope Academy.,1
Support surgery for father's tumor diagnosed last week.,1
I need funds for a Rolex to look cool.,0
Help fund scholarships for tribal children attending college.,1
Help renovate the old town hall in Northwood.,1
Help me buy a gaming laptop for gaming.,0
Provide internet access to underprivileged students in Northwood.,1
Donate and I’ll make you rich too!,0
Support our campaign to build a new library for Hope Academy.,1
Join us in building a new community center for marginalized groups.,1
Fund our independent film documenting refugee life.,1
Help me build a museum for toothpicks.,0
Join us in building a new playground for village kids.,1
Fund my journey to create edible toolss.,0
Fund my journey to create edible toolss.,0
Help me reach success through your money.,0
Provide internet access to underprivileged students in Ashville.,1
Support publishing a graphic novel about freedom.,1
Provide books for 500 kids in low-income schools.,1
Help us vaccinate and feed 20 stray cows.,1
Fund my journey to create edible hatss.,0
"Fund life-saving heart surgery for Stacie, a child from Northwood.",1
Fund our independent film documenting lost traditions.,1
Help my friend get urgent cancer treatment in Delhi.,1
Provide shelter for stray animals at Moonlight Paws.,1
Donate now for a 2100% return in one month!,0
Help us vaccinate and feed 20 stray monkeys.,1
Support our dog shelter expansion project.,1
Emergency help for cow injured on the streets of Lakeside.,1
Help me buy a gaming laptop for gaming.,0
Help me buy a gaming laptop for gaming.,0
Help me build a museum for bubble wrap.,0
Fund our independent film documenting refugee life.,1
Help us vaccinate and feed 20 stray monkeys.,1
Donate and I’ll make you rich too!,0
Support our cat shelter expansion project.,1
Help me build a museum for toothpicks.,0
Support my dream to travel to London in first-class.,0
Support publishing a graphic novel about migration.,1
Help me buy a VR headset for gaming.,0
I want to train elephantss to dance salsa.,0
I want to train pigeonss to dance salsa.,0
Donate and I’ll make you rich too!,0
Help fund scholarships for girls attending college.,1
Help me reach success through your money.,0
Fund our independent film documenting rural heroes.,1
Emergency help for dog injured on the streets of Northwood.,1
I want a new camera for my vlogs.,0
Support local volunteers cleaning park.,1
Support our cow shelter expansion project.,1
Help me fund my cigar club for teenagers.,0
Support publishing a graphic novel about migration.,1
Fund my journey to create edible toolss.,0
Help me buy a gaming laptop for gaming.,0
Support our cat shelter expansion project.,1
Support our monkey shelter expansion project.,1
Let’s buy drinks for the whole block party.,0
Fund our independent film documenting refugee life.,1
Support publishing a graphic novel about migration.,1
Fund laptops for 1100 students in need.,1
I need funds for a sports car to look cool.,0
Support surgery for brother's tumor diagnosed last week.,1
Help us vaccinate and feed 20 stray monkeys.,1
Support surgery for sister's lung disease diagnosed last week.,1
"Fund life-saving kidney transplant for David, a child from Hilltop.",1
"Fund life-saving cancer treatment for Abigail, a child from Northwood.",1
Let’s raise money to feed raccoons pizza.,0
Support publishing a graphic novel about migration.,1
Help us vaccinate and feed 100 stray cats.,1
Support my dream to travel to London in first-class.,0
Let’s buy drinks for the whole block party.,0
Support my poker tournament entry fees.,0
Donate and I’ll make you rich too!,0
"No reason, just trust me and give.",0
Support our cow shelter expansion project.,1
Emergency help for cat injured on the streets of Hilltop.,1
Help my father get urgent heart surgery in Mumbai.,1
Fund my journey to create edible jewelss.,0
Support my dream to travel to Tokyo in first-class.,0
"No reason, just trust me and give.",0
Help me train my guinea pig to be a singer.,0
Back our startup to create eco-friendly tech.,1
Help fund scholarships for girls attending college.,1
Help my mother get urgent heart surgery in Mumbai.,1
"No reason, just trust me and give.",0
Help me fund my cigar club for teenagers.,0
Fund our independent film documenting rural heroes.,1
Help us vaccinate and feed 100 stray cows.,1
Support my dream to travel to London in first-class.,0
Help renovate the old library in Lakeside.,1
Support my poker tournament entry fees.,0
Help me reach success through your money.,0
Support local volunteers cleaning playground.,1
Help me build a museum for socks.,0
Emergency help for dog injured on the streets of Hilltop.,1
Help us vaccinate and feed 50 stray cows.,1
Fund our independent film documenting lost traditions.,1
Donate and I’ll make you rich too!,0
I need funds for a diamond ring to look cool.,0
I want to train pigeonss to dance salsa.,0
Let’s raise money to feed raccoons pizza.,0
Support our campaign to build a new library for Sunrise Public School.,1
I want to train elephantss to dance salsa.,0
Let’s buy drinks for the whole block party.,0
Support my poker tournament entry fees.,0
Fund our independent film documenting rural heroes.,1
I need funds for a sports car to look cool.,0
Help me reach success through your money.,0
Support my dream to travel to Tokyo in first-class.,0
Fund our independent film documenting refugee life.,1
Fund coding classes for 300 rural students.,1
Help me buy a gaming laptop for gaming.,0
Let’s raise money to feed raccoons pizza.,0
Let’s raise money to feed raccoons pizza.,0
Help me build a museum for toothpicks.,0
Let’s buy drinks for the whole block party.,0
Support my poker tournament entry fees.,0
Donate and I’ll make you rich too!,0
Emergency help for dog injured on the streets of Northwood.,1
Help build a new community garden in Brookside.,1
Help me buy a VR headset for gaming.,0
"Fund life-saving chemotherapy for Toni, a child from Northwood.",1
Help me reach success through your money.,0
Provide school supplies to underprivileged students in Lakeside.,1
Help me reach success through your money.,0
Help me build a museum for toothpicks.,0
Join us in building a new community center for marginalized groups.,1
Help me reach success through your money.,0
I need funds for a sports car to look cool.,0
Help me fund my cigar club for teenagers.,0
Help me build a museum for socks.,0
Help me buy a gaming laptop for gaming.,0
Provide laptops to underprivileged students in Lakeside.,1
Let’s raise money to feed raccoons pizza.,0
Donate and I’ll make you rich too!,0
Fund my journey to create edible toolss.,0
Help me buy a VR headset for gaming.,0
Help fund scholarships for tribal children attending college.,1
Support our campaign to build a new library for Hope Academy.,1
Help me fund my cigar club for teenagers.,0
Let’s buy drinks for the whole block party.,0
Support my poker tournament entry fees.,0
Help me build a museum for bubble wrap.,0
Support our campaign to build a new library for Sunrise Public School.,1
Join us in building a new playground for marginalized groups.,1
I need funds for a diamond ring to look cool.,0
Fund our independent film documenting lost traditions.,1
I want to train pigeonss to dance salsa.,0
Support local volunteers cleaning playground.,1
I need funds for a Rolex to look cool.,0
Fund my journey to create edible jewelss.,0
Emergency help for cow injured on the streets of Lakeside.,1
Help me reach success through your money.,0
Fund our independent film documenting rural heroes.,1
Fund our independent film documenting rural heroes.,1
Help me fund my cigar club for teenagers.,0
Join us in building a new community center for village kids.,1
Support local volunteers cleaning community center.,1
Fund our independent film documenting lost traditions.,1
Support surgery for brother's lung disease diagnosed last week.,1
Help me buy a gaming laptop for gaming.,0
"No reason, just trust me and give.",0
Raising funds for my online poker startup.,0
Help fund scholarships for tribal children attending college.,1
Help me reach success through your money.,0
Let’s buy drinks for the whole block party.,0
Fund my journey to create edible jewelss.,0
"Help us launch our AI tutor, an innovative tech solution for energy saving.",1
Help fund scholarships for girls attending college.,1
Help fund scholarships for girls attending college.,1
"Fund life-saving chemotherapy for Robert, a child from Lakeside.",1
Provide laptops to underprivileged students in Ashville.,1
Emergency help for dog injured on the streets of Ashville.,1
I want to train elephantss to dance salsa.,0
Support publishing a graphic novel about migration.,1
I need funds for a Rolex to look cool.,0
Provide laptops to underprivileged students in Northwood.,1
I need funds for a diamond ring to look cool.,0
Emergency help for dog injured on the streets of Hilltop.,1
I want to train elephantss to dance salsa.,0
"Help us launch our eco lamp, an innovative tech solution for energy saving.",1
"Fund life-saving chemotherapy for Frank, a child from Lakeside.",1
Let’s raise money to feed raccoons pizza.,0
"Help us launch our AI tutor, an innovative tech solution for energy saving.",1
Support surgery for brother's tumor diagnosed last week.,1
Let’s buy drinks for the whole block party.,0
Support surgery for brother's lung disease diagnosed last week.,1
Support local volunteers cleaning community center.,1
Support our campaign to build a new library for Green Valley School.,1
Help me fund my cigar club for teenagers.,0
Emergency help for monkey injured on the streets of Northwood.,1
Help me buy a PS5 for gaming.,0
Help me buy a VR headset for gaming.,0
I want to train geeses to dance salsa.,0
"No reason, just trust me and give.",0
Fund my journey to create edible toolss.,0
Help me reach success through your money.,0
"No reason, just trust me and give.",0
Help me fund my cigar club for teenagers.,0
Let’s raise money to feed raccoons pizza.,0
Help renovate the old library in Ashville.,1
Fund my journey to create edible jewelss.,0
Fund our independent film documenting lost traditions.,1
Join us in building a new playground for marginalized groups.,1
Support our campaign to build a new library for Hope Academy.,1
Help me reach success through your money.,0
Support our monkey shelter expansion project.,1
Fund my journey to create edible jewelss.,0
Help my father get urgent kidney transplant in Bangalore.,1
Join us in building a new park for marginalized groups.,1
Support medical care for stray animals at Starlight Paws.,1
I want to train elephantss to dance salsa.,0
Support our monkey shelter expansion project.,1
"Fund life-saving chemotherapy for Alexandra, a child from Hilltop.",1
Emergency help for monkey injured on the streets of Lakeside.,1
I need funds for a Rolex to look cool.,0
Help me reach success through your money.,0
"Fund life-saving heart surgery for Nicholas, a child from Ashville.",1
Let’s raise money to feed raccoons pizza.,0
Fund our independent film documenting rural heroes.,1
Support my dream to travel to Dubai in first-class.,0
Support surgery for sister's tumor diagnosed last week.,1
Help us vaccinate and feed 20 stray cats.,1
Help me build a museum for toothpicks.,0
"Fund life-saving heart surgery for Richard, a child from Ashville.",1
Help me fund my cigar club for teenagers.,0
Support my dream to travel to Paris in first-class.,0
Provide art supplies for 600 kids in need.,1
Help me reach success through your money.,0
"Fund life-saving cancer treatment for Andrea, a child from Lakeside.",1
Help us vaccinate and feed 20 stray cats.,1
I want to train elephantss to dance salsa.,0
Support surgery for mother's tumor diagnosed last week.,1
Support my fundraiser for a crypto poker app.,0
Fund our independent film documenting refugee life.,1
Provide internet access to underprivileged students in Lakeside.,1
Help me fund my cigar club for teenagers.,0
Help my sister get urgent chemotherapy in Kolkata.,1
Emergency help for dog injured on the streets of Lakeside.,1
I want to train geeses to dance salsa.,0
Fund my journey to create edible toolss.,0
Fund my journey to create edible toolss.,0
Help renovate the old town hall in Hilltop.,1
Help me buy a PS5 for gaming.,0
Fund my journey to create edible hatss.,0
Support my poker tournament entry fees.,0
Fund my journey to create edible jewelss.,0
"Fund life-saving chemotherapy for Elizabeth, a child from Lakeside.",1
Let’s raise money to feed raccoons pizza.,0
Join us in building a new community center for village kids.,1
Help fund scholarships for tribal children attending college.,1
Join us in building a new park for marginalized groups.,1
Help me reach success through your money.,0
I need funds for a sports car to look cool.,0
Provide internet access to underprivileged students in Hilltop.,1
